Student Name,Mobile Number,ACM ID,Branch,Year
Student 001,9876543201,ACM-101,CSE,3rd Year
Student 002,9876543202,ACM-102,ECE,2nd Year
Student 003,9876543203,ACM-103,IT,3rd Year
Student 004,9876543204,ACM-104,CSE,1st Year
Student 005,9876543205,ACM-105,MECH,2nd Year
Student 006,9876543206,ACM-106,CSE,4th Year
Student 007,9876543207,ACM-107,ECE,3rd Year
Student 008,9876543208,ACM-108,IT,2nd Year
Student 009,9876543209,ACM-109,CSE,1st Year
Student 010,9876543210,ACM-110,CSE,3rd Year
Student 011,9876543211,ACM-111,CSE,2nd Year
Student 012,9876543212,ACM-112,AI/DS,3rd Year
Student 013,9876543213,ACM-113,CSE,4th Year
Student 014,9876543214,ACM-114,ECE,1st Year
Student 015,9876543215,ACM-115,IT,2nd Year
Student 016,9876543216,ACM-116,CSE,3rd Year
Student 017,9876543217,ACM-117,MECH,4th Year
Student 018,9876543218,ACM-118,CSE,2nd Year
Student 019,9876543219,ACM-119,ECE,3rd Year
Student 020,9876543220,ACM-120,IT,1st Year
